DATAFLOW,LAST UPDATE,freq,age,indic_se,sex,sizeclas,nace_r2,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:EARN_SES10_20(1.0),30/01/2017 23:00,A,TOTAL,ERN,T,GE10,O,EUR,LV,2010,783,
ESTAT:EARN_SES10_20(1.0),30/01/2017 23:00,A,TOTAL,ERN,T,GE10,O,EUR,MK,2010,642,
ESTAT:EARN_SES10_20(1.0),30/01/2017 23:00,A,TOTAL,ERN,T,GE10,O,EUR,NL,2010,3286,
ESTAT:EARN_SES10_20(1.0),30/01/2017 23:00,A,TOTAL,ERN,T,GE10,O,EUR,PL,2010,947,
ESTAT:EARN_SES10_20(1.0),30/01/2017 23:00,A,TOTAL,ERN,T,GE10,O,EUR,RO,2010,412,
ESTAT:EARN_SES10_20(1.0),30/01/2017 23:00,A,TOTAL,ERN,T,GE10,O,EUR,SE,2010,3280,
ESTAT:EARN_SES10_20(1.0),30/01/2017 23:00,A,TOTAL,ERN,T,GE10,O,EUR,SI,2010,1764,
ESTAT:EARN_SES10_20(1.0),30/01/2017 23:00,A,TOTAL,ERN,T,GE10,O,EUR,SK,2010,776,
ESTAT:EARN_SES10_20(1.0),30/01/2017 23:00,A,TOTAL,ERN,T,GE10,O,EUR,UK,2010,3197,
ESTAT:EARN_SES10_20(1.0),30/01/2017 23:00,A,TOTAL,ERN,T,GE10,P,EUR,AT,2010,,d
ESTAT:EARN_SES10_20(1.0),30/01/2017 23:00,A,TOTAL,ERN,T,GE10,P,EUR,BE,2010,,d
ESTAT:EARN_SES10_20(1.0),30/01/2017 23:00,A,TOTAL,ERN,T,GE10,P,EUR,BG,2010,365,
ESTAT:EARN_SES10_20(1.0),30/01/2017 23:00,A,TOTAL,ERN,T,GE10,P,EUR,CH,2010,5334,
ESTAT:EARN_SES10_20(1.0),30/01/2017 23:00,A,TOTAL,ERN,T,GE10,P,EUR,CY,2010,2553,
ESTAT:EARN_SES10_20(1.0),30/01/2017 23:00,A,TOTAL,ERN,T,GE10,P,EUR,CZ,2010,970,
ESTAT:EARN_SES10_20(1.0),30/01/2017 23:00,A,TOTAL,ERN,T,GE10,P,EUR,DE,2010,2978,
ESTAT:EARN_SES10_20(1.0),30/01/2017 23:00,A,TOTAL,ERN,T,GE10,P,EUR,DK,2010,3880,
ESTAT:EARN_SES10_20(1.0),30/01/2017 23:00,A,TOTAL,ERN,T,GE10,P,EUR,EE,2010,812,
ESTAT:EARN_SES10_20(1.0),30/01/2017 23:00,A,TOTAL,ERN,T,GE10,P,EUR,EL,2010,1924,
ESTAT:EARN_SES10_20(1.0),30/01/2017 23:00,A,TOTAL,ERN,T,GE10,P,EUR,ES,2010,2086,
ESTAT:EARN_SES10_20(1.0),30/01/2017 23:00,A,TOTAL,ERN,T,GE10,P,EUR,EU28,2010,2424,
ESTAT:EARN_SES10_20(1.0),30/01/2017 23:00,A,TOTAL,ERN,T,GE10,P,EUR,FI,2010,2878,
ESTAT:EARN_SES10_20(1.0),30/01/2017 23:00,A,TOTAL,ERN,T,GE10,P,EUR,FR,2010,2343,
ESTAT:EARN_SES10_20(1.0),30/01/2017 23:00,A,TOTAL,ERN,T,GE10,P,EUR,HR,2010,1159,
ESTAT:EARN_SES10_20(1.0),30/01/2017 23:00,A,TOTAL,ERN,T,GE10,P,EUR,HU,2010,705,
ESTAT:EARN_SES10_20(1.0),30/01/2017 23:00,A,TOTAL,ERN,T,GE10,P,EUR,IE,2010,3679,
ESTAT:EARN_SES10_20(1.0),30/01/2017 23:00,A,TOTAL,ERN,T,GE10,P,EUR,IS,2010,,d
ESTAT:EARN_SES10_20(1.0),30/01/2017 23:00,A,TOTAL,ERN,T,GE10,P,EUR,IT,2010,,d
ESTAT:EARN_SES10_20(1.0),30/01/2017 23:00,A,TOTAL,ERN,T,GE10,P,EUR,LT,2010,617,
ESTAT:EARN_SES10_20(1.0),30/01/2017 23:00,A,TOTAL,ERN,T,GE10,P,EUR,LU,2010,,d
ESTAT:EARN_SES10_20(1.0),30/01/2017 23:00,A,TOTAL,ERN,T,GE10,P,EUR,LV,2010,625,
ESTAT:EARN_SES10_20(1.0),30/01/2017 23:00,A,TOTAL,ERN,T,GE10,P,EUR,MK,2010,563,
ESTAT:EARN_SES10_20(1.0),30/01/2017 23:00,A,TOTAL,ERN,T,GE10,P,EUR,MT,2010,,d
ESTAT:EARN_SES10_20(1.0),30/01/2017 23:00,A,TOTAL,ERN,T,GE10,P,EUR,NL,2010,2962,
ESTAT:EARN_SES10_20(1.0),30/01/2017 23:00,A,TOTAL,ERN,T,GE10,P,EUR,NO,2010,,d
ESTAT:EARN_SES10_20(1.0),30/01/2017 23:00,A,TOTAL,ERN,T,GE10,P,EUR,PL,2010,826,
ESTAT:EARN_SES10_20(1.0),30/01/2017 23:00,A,TOTAL,ERN,T,GE10,P,EUR,PT,2010,,d
ESTAT:EARN_SES10_20(1.0),30/01/2017 23:00,A,TOTAL,ERN,T,GE10,P,EUR,RO,2010,412,
ESTAT:EARN_SES10_20(1.0),30/01/2017 23:00,A,TOTAL,ERN,T,GE10,P,EUR,SE,2010,2845,
ESTAT:EARN_SES10_20(1.0),30/01/2017 23:00,A,TOTAL,ERN,T,GE10,P,EUR,SI,2010,1745,
ESTAT:EARN_SES10_20(1.0),30/01/2017 23:00,A,TOTAL,ERN,T,GE10,P,EUR,SK,2010,734,
ESTAT:EARN_SES10_20(1.0),30/01/2017 23:00,A,TOTAL,ERN,T,GE10,P,EUR,TR,2010,,d
ESTAT:EARN_SES10_20(1.0),30/01/2017 23:00,A,TOTAL,ERN,T,GE10,P,EUR,UK,2010,2884,
